,GEOID,age_bin,risk,group_pop
0,78610,00-04,high,0.2818647686606118
1,78610,05-10,high,1.116008832098129
2,78610,11-13,high,0.5147818003373599
3,78610,14-17,high,0.6182824571166584
4,78610,18-49,high,8.48777481650713
5,78610,50-64,high,4.918485286499208
6,78610,65+,high,3.0627894350808207
14,78620,00-04,high,0.0073169355710222
15,78620,05-10,high,0.0429565907935288
16,78620,11-13,high,0.0213203945470548
17,78620,14-17,high,0.0432066589709442
18,78620,18-49,high,0.283990681367315
19,78620,50-64,high,0.3080059400346086
20,78620,65+,high,0.2236353352855689
28,78652,00-04,high,4.23711994270567
29,78652,05-10,high,25.94984262960637
30,78652,11-13,high,10.22310373844636
31,78652,14-17,high,13.47018486072553
32,78652,18-49,high,290.95357017292184
33,78652,50-64,high,220.59058868200356
34,78652,65+,high,357.13945840502333
42,78701,00-04,high,2.842950446410179
43,78701,05-10,high,4.962721380709591
44,78701,11-13,high,6.655242479285854
45,78701,14-17,high,5.989079310636421
46,78701,18-49,high,1553.0032861035756
47,78701,50-64,high,524.2396482914302
48,78701,65+,high,517.3494814377802
56,78702,00-04,high,89.09019317835717
57,78702,05-10,high,266.6798880111044
58,78702,11-13,high,87.86712831674467
59,78702,14-17,high,133.2206420206972
60,78702,18-49,high,4143.7133921515015
61,78702,50-64,high,1429.4813260373578
62,78702,65+,high,1615.289525912107
70,78703,00-04,high,57.251047252777774
71,78703,05-10,high,185.07692334576527
72,78703,11-13,high,99.83949051790506
73,78703,14-17,high,107.51441920075992
74,78703,18-49,high,2488.1694658741885
75,78703,50-64,high,1257.1534434182893
76,78703,65+,high,1124.7253426938903
84,78704,00-04,high,129.08602193419864
85,78704,05-10,high,309.96666882239504
86,78704,11-13,high,140.88171317219087
87,78704,14-17,high,160.34819783962513
88,78704,18-49,high,7521.408337156488
89,78704,50-64,high,2418.047668995624
90,78704,65+,high,1705.593518156867
98,78705,00-04,high,8.899254256329638
99,78705,05-10,high,36.23706224893136
100,78705,11-13,high,15.105244806878318
101,78705,14-17,high,36.71532118539376
102,78705,18-49,high,6208.643336255293
103,78705,50-64,high,254.3632426085832
104,78705,65+,high,134.82316096615955
112,78712,00-04,high,0.0
113,78712,05-10,high,0.0
114,78712,11-13,high,0.0
115,78712,14-17,high,1.3703524524584991
116,78712,18-49,high,158.31742939454253
117,78712,50-64,high,0.0
118,78712,65+,high,0.0
126,78719,00-04,high,0.0361932969827819
127,78719,05-10,high,0.3407609655408558
128,78719,11-13,high,0.187610248938981
129,78719,14-17,high,0.2929411761699677
130,78719,18-49,high,2.811128563791981
131,78719,50-64,high,2.332583621062833
132,78719,65+,high,2.579898625341732
140,78721,00-04,high,44.4222034007534
141,78721,05-10,high,153.45866844051412
