"","GEOID","NAME","geograpy","GEOID10","concept","Estimate!!Percent in public school!!Population 3 years and over enrolled in school","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Nursery school, preschool","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!College, undergraduate","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Graduate, professional school","Estimate!!Percent in public school!!Population enrolled in college or graduate school","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Estimate!!Percent in public school!!Population 3 to 4 years","Estimate!!Percent in public school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school","Estimate!!Percent in public school!!Population 5 to 9 years","Estimate!!Percent in public school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school","Estimate!!Percent in public school!!Population 10 to 14 years","Estimate!!Percent in public school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school","Estimate!!Percent in public school!!Population 15 to 17","Estimate!!Percent in public school!!Population 15 to 17!!15 to 17 year olds enrolled in school","Estimate!!Percent in public school!!Population 18 to 19 years","Estimate!!Percent in public school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school","Estimate!!Percent in public school!!Population 20 to 24 years","Estimate!!Percent in public school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school","Estimate!!Percent in public school!!Population 25 to 34 years","Estimate!!Percent in public school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school","Estimate!!Percent in public school!!Population 35 years and over","Estimate!!Percent in public school!!Population 35 years and over!!35 years and over enrolled in school","Estimate!!Percent in public school!!Population 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Enrolled in college or graduate school","Estimate!!Percent in public school!!Population 18 to 24 years!!Males 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Estimate!!Percent in public school!!Population 18 to 24 years!!Females 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"1","730","ZCTA5 78730","ZCTA5","78730","SCHOOL ENROLLMENT",79,29.3,83.4,58.3,81.6,97,82.3,77.5,64.6,72.9,36.2,100,NA,39.8,NA,64.5,NA,96.2,NA,88.4,NA,52,NA,75.7,NA,67.8,NA,67.4,NA,80.2,NA,65.4,NA,100
"2","733","ZCTA5 78733","ZCTA5","78733","SCHOOL ENROLLMENT",81.8,37,88.3,68.6,93.2,86.5,86.9,84.7,87,85.6,83,90,NA,34.3,NA,92,NA,87.9,NA,86.1,NA,77.7,NA,76.2,NA,70.2,NA,100,NA,78.4,NA,77.9,NA,79.2
"3","751","ZCTA5 78751","ZCTA5","78751","SCHOOL ENROLLMENT",90.8,37.7,82.9,NA,97.5,84.1,69,92.5,95.8,94.1,92.7,95.3,NA,51.1,NA,82.2,NA,87.4,NA,65.4,NA,100,NA,96.5,NA,91.2,NA,89.6,NA,97.7,NA,97.8,NA,97.6
"4","610","ZCTA5 78610","ZCTA5","78610","SCHOOL ENROLLMENT",91.2,62.7,93.6,70.2,98.6,89.6,99.4,90.7,82.3,89.2,89.4,89,NA,58.4,NA,89.5,NA,92.1,NA,99,NA,99.8,NA,99,NA,94.2,NA,59.7,NA,99.1,NA,99.3,NA,98.9
"5","701","ZCTA5 78701","ZCTA5","78701","SCHOOL ENROLLMENT",82.3,100,54.1,0,NA,77.8,57.1,90.1,79,84.8,91.8,72.1,NA,0,NA,100,NA,84.1,NA,0,NA,100,NA,87.1,NA,75.2,NA,96.6,NA,87.5,NA,96,NA,69.5
"6","735","ZCTA5 78735","ZCTA5","78735","SCHOOL ENROLLMENT",62.1,38,61.4,49.4,70.8,45.5,65.7,85.6,80.6,84.5,82.5,86.8,NA,23.8,NA,69.1,NA,50,NA,63.3,NA,71.7,NA,87.4,NA,74.8,NA,100,NA,83.6,NA,80.6,NA,86.9
"7","752","ZCTA5 78752","ZCTA5","78752","SCHOOL ENROLLMENT",89.2,41.1,96.6,92.1,93.5,97.9,99.9,89.4,90,89.6,84.6,93,NA,21.3,NA,92.5,NA,96.5,NA,99.8,NA,90.3,NA,96.2,NA,92.2,NA,75.7,NA,91.9,NA,91.5,NA,92
"8","758","ZCTA5 78758","ZCTA5","78758","SCHOOL ENROLLMENT",88.3,83.7,92.1,88.1,90.8,90.3,97.2,84.8,67.3,80.2,73.2,86.1,NA,84.3,NA,90.3,NA,90.3,NA,97.7,NA,92.9,NA,85,NA,76.5,NA,82.9,NA,84.9,NA,91.5,NA,79.2
"9","722","ZCTA5 78722","ZCTA5","78722","SCHOOL ENROLLMENT",89.2,48.4,88.5,60,88.2,86.4,100,97.3,100,98.8,100,98,NA,42.7,NA,85.2,NA,86.1,NA,100,NA,100,NA,94.5,NA,100,NA,100,NA,94.3,NA,100,NA,93.1
"10","703","ZCTA5 78703","ZCTA5","78703","SCHOOL ENROLLMENT",72.6,23.1,68.1,60.8,67.9,63.5,81.9,83,89.9,87.9,86.1,91.3,NA,21.1,NA,63,NA,66,NA,83.2,NA,71.7,NA,81.3,NA,94.8,NA,81,NA,80.3,NA,75.7,NA,87.8
