"","GEOID","NAME","label","estimate","measure_type"
"1","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",16.1,"percent"
"2","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",48.6,"percent"
"3","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",11.4,"percent"
"4","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten",14.5,"percent"
"5","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4",16.4,"percent"
"6","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",8.8,"percent"
"7","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",8.8,"percent"
"8","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",15.5,"percent"
"9","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",57.6,"percent"
"10","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",24,"percent"
"11","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",36.5,"percent"
"12","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",9.7,"percent"
"13","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"14","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",54.7,"percent"
"15","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"16","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",19,"percent"
"17","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"18","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",8,"percent"
"19","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"20","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",9.9,"percent"
"21","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"22","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",12.5,"percent"
"23","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
"24","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",19.6,"percent"
"25","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
"26","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",22.6,"percent"
"27","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over",NA,"percent"
"28","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 35 years and over!!35 years and over enrolled in school",31.6,"percent"
"29","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years",NA,"percent"
"30","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Enrolled in college or graduate school",19,"percent"
"31","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years",NA,"percent"
"32","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school",34.4,"percent"
"33","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years",NA,"percent"
"34","4800008","Dripping Springs Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school",4.6,"percent"
"35","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school",6.4,"percent"
"36","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Nursery school, preschool",82.1,"percent"
"37","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",4.8,"percent"
